Nama Lokasi,Level,Polygon XML
,,
Bekasi > Bantar Gebang,2,"<coordinates>106.99173778295517,-6.313978900134524 106.98884099721909,-6.312707245600658 106.98907434940338,-6.312360672544733 106.9919228553772,-6.313629661988667 106.99173778295517,-6.313978900134524 </coordinates>"
Bekasi > Bekasi Barat,,
Bekasi > Bekasi Barat > Duta Kranji,,
Bekasi > Bekasi Barat > Hotel Horison,3,"<coordinates>106.99166603386402,-6.253201263276218 106.99163518846035,-6.253478553260163 106.99182830750942,-6.253494550754751 106.99186988174915,-6.253243923283325 106.99166603386402,-6.253201263276218 </coordinates>"
Bekasi > Bekasi Barat > Pertokoan Duta Permai,3,"<coordinates>106.96877539157867,-6.24820868528859 106.96876466274261,-6.249083223085714 106.97035253047943,-6.249093888171772 106.97026669979095,-6.24820868528859 106.96877539157867,-6.24820868528859 </coordinates>"
Bekasi > Bekasi Barat > Perumahan Jaka Permai,3,"<coordinates>106.97118937969208,-6.248315336317714 106.97120010852814,-6.249104553257639 106.97231590747833,-6.248859256228116 106.9722729921341,-6.247974052948014 106.97118937969208,-6.248315336317714 </coordinates>"
Bekasi > Bekasi Barat > Ruko Grand Permai Bintara,,
Bekasi > Bekasi Barat > Ruko Kalimalang Square,,
Bekasi > Bekasi Barat > Transera Waterpark,3,"<coordinates>106.97493642568588,-6.170331658365528 106.97739332914352,-6.170432991827926 106.97736650705338,-6.169782323995358 106.974957883358,-6.1696543236719625 106.97493642568588,-6.170331658365528 </coordinates>"
Bekasi > Bekasi Selatan,,
Bekasi > Bekasi Selatan > Bekasi Cyber Park,3,"<coordinates>106.99056565761566,-6.247235493643843 106.99229031801224,-6.2465715892643265 106.99198454618454,-6.246046330985906 106.99039936065674,-6.246347621331893 106.99056565761566,-6.247235493643843 </coordinates>"
Bekasi > Bekasi Selatan > Bekasi Mas,3,"<coordinates>106.99325256049633,-6.241214996626667 106.99323914945126,-6.241578281457893 106.99366897344589,-6.241584947232271 106.99368573725224,-6.241246992365041 106.99325256049633,-6.241214996626667 </coordinates>"
